Player mode; name 'sierra' 
A 
OK message received: OK A 
GRID message received: GRID 20 79 
GOLD message received: GOLD 0 0 250 
GOLD message received: GOLD 17 17 233 
GOLD message received: GOLD 16 33 217 
GOLD message received: GOLD 25 58 192 
GOLD message received: GOLD 16 74 176 
GOLD message received: GOLD 24 98 152 
GOLD message received: GOLD 9 107 143 
GOLD message received: GOLD 15 122 128 
GOLD message received: GOLD 9 131 119 
GOLD message received: GOLD 20 151 99 
GOLD message received: GOLD 19 170 80 
GOLD message received: GOLD 24 194 56 
GOLD message received: GOLD 19 213 37 
GOLD message received: GOLD 19 232 18 
GOLD message received: GOLD 10 242 8 
GOLD message received: GOLD 8 250 0 
