GRID message received: GRID 20 79 
GOLD message received: GOLD 0 0 250 
GOLD message received: GOLD 0 0 233 
GOLD message received: GOLD 0 0 217 
GOLD message received: GOLD 0 0 192 
GOLD message received: GOLD 0 0 176 
GOLD message received: GOLD 0 0 152 
GOLD message received: GOLD 0 0 143 
GOLD message received: GOLD 0 0 128 
GOLD message received: GOLD 0 0 119 
GOLD message received: GOLD 0 0 99 
GOLD message received: GOLD 0 0 80 
GOLD message received: GOLD 0 0 56 
GOLD message received: GOLD 0 0 37 
GOLD message received: GOLD 0 0 18 
GOLD message received: GOLD 0 0 8 
GOLD message received: GOLD 0 0 0 
